quarter,as_on_date,symbol,company,sector,universe,fii_pct,dii_pct,source,updated_at
2025Q4,31-DEC-2025,PFC,Power Finance Corporation Limited,Financial Services,Nifty Next 50,18.33,15.48,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1595389_06012026011608_WEB.xml,2026-05-22T16:54:36+00:00
2025Q4,31-DEC-2025,PHOENIXLTD,The Phoenix Mills Limited,Realty,Midcap,33.85,15.26,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1599687_13012026033230_WEB.xml,2026-06-04T17:27:42+00:00
2025Q4,31-DEC-2025,PIDILITIND,Pidilite Industries Limited,Chemicals,Nifty Next 50,12.0,9.26,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1606227_20012026071128_WEB.xml,2026-05-22T16:54:44+00:00
2025Q4,31-DEC-2025,PIIND,PI Industries Limited,Chemicals,Midcap,15.97,31.08,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1605907_20012026053607_WEB.xml,2026-06-04T17:27:47+00:00
2025Q4,31-DEC-2025,PNB,Punjab National Bank,Banking,Midcap,5.94,16.08,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1602067_16012026013413_WEB.xml,2026-06-04T17:27:53+00:00
2025Q4,31-DEC-2025,POLICYBZR,PB Fintech Limited,Financial Services,Midcap,40.77,29.54,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1605204_20012026124908_WEB.xml,2026-06-04T17:27:58+00:00
2025Q4,31-DEC-2025,POLYCAB,Polycab India Limited,Consumer Durables,Midcap,14.82,11.13,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1606875_21012026025304_WEB.xml,2026-06-04T17:28:03+00:00
2025Q4,31-DEC-2025,POWERGRID,Power Grid Corporation of India Limited,Power,Nifty 50,24.73,20.26,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1601066_14012026063807_WEB.xml,2026-05-22T17:01:26+00:00
2025Q4,31-DEC-2025,PRESTIGE,Prestige Estates Projects Limited,Realty,Midcap,15.72,20.96,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1606068_20012026061808_WEB.xml,2026-06-04T17:28:09+00:00
2025Q4,31-DEC-2025,RECLTD,REC Limited,Financial Services,Nifty Next 50,16.46,16.22,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1601899_16012026105628_WEB.xml,2026-05-22T16:54:52+00:00
2025Q4,31-DEC-2025,RELIANCE,Reliance Industries Limited,Conglomerate,Nifty 50,19.09,20.18,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1607627_21012026071311_WEB.xml,2026-05-22T17:01:35+00:00
